"Source:","C:\Users\kosma\Desktop\RGB-YPbPr-Converter\RGB-YPbPr-Converter.kicad_sch"
"Date:","07/10/2022 02:48:25"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mouser","Part Number","TME"
"","","R15","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R16","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R17","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R18","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R19","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R20","570","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R21","133","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R22","75","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R23","105","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R24","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R25","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R26","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R27","174","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R28","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R29","261","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","R30","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","",""
"","","U1","1117-5.0","Regulator_Linear:LM1117-5.0","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf","ST Microelectronics","","LD1117S50TR","LD1117S50"
"","","U2","ICL7660","Regulator_SwitchedCapacitor:ICL7660","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.renesas.com/us/en/document/dst/icl7660s-icl7660a-datasheet","Renesas/Intersil","968-ICL7660AIBAZA","ICL7660AIBAZA","ICL7660AIBAZA"
"","","U3","LMV793MFX","Comparator:LMV7219M5","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/lmv7219.pdf","Texas Instruments","926-LMV793MFX/NOPB","LMV793MFX/NOPB",""
"","","U4","LT6550","lib:LT6550","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.analog.com/media/en/technical-documentation/data-sheets/65501fa.pdf","Analog Devices","LT6550CMS#PBF","LT6550CMS#PBF",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mouser","Part Number","TME"
"1","3","C1, C6, C7","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"2","6","C2, C3, C4, C5, C8, C9","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"3","1","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","Generic","","1N4001","1N4001-DIO"
"4","1","D2","5.6V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","https://www.tme.eu/Document/faaef3a3ceea8ac2addceecf95f9ce09/BZX384_SER.pdf","Vishay","","BZX384-C5V6,115","BZX384-C5V6.115"
"5","1","D3","Green","Device:LED","LED_SMD:LED_0805_2012Metric","~","Generic","","LED 0805 Green","LTST-C170KGKT"
"6","4","H1, H2, H3, H4","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
